"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"XPL","Solitario Exploration & Royalty Corp","0.66","25532224.74","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/xpl",
"SCCO","Southern Copper Corporation","34.98","27040116085.62","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/scco",
"STLD","Steel Dynamics, Inc.","35.92","8685003659.44","n/a","1996","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/stld",
"SCL","Stepan Company","87.6","1968356845.2","n/a","n/a","Basic Industries","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/scl",
"SRCL","Stericycle, Inc.","76.48","6521304976.32","n/a","1996","Basic Industries","Environmental Services","http://www.nasdaq.com/symbol/srcl",
"SRCLP","Stericycle, Inc.","64.79","0","n/a","n/a","Basic Industries","Environmental Services","http://www.nasdaq.com/symbol/srclp",
"STRL","Sterling Construction Company Inc","12.95","349357809.15","n/a","n/a","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/strl",
"SUM","Summit Materials, Inc.","29.67","3157001932.8","n/a","2015","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/sum",
"SXCP","SunCoke Energy Partners, L.P.","17.6","813482084.8","n/a","2013","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/sxcp",
"SXC","SunCoke Energy, Inc.","10.98","706225419.9","n/a","2011","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/sxc",
"SYNL","Synalloy Corporation","11.2","97200566.4","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/synl",
"SYT","Syngenta AG","92.5","42651977087.5","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/syt",
"SYMX","Synthesis Energy Systems, Inc.","0.547","47758918.439","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/symx",
"TAHO","Tahoe Resources, Inc.","5.15","1609463786","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/taho",
"TANH","Tantech Holdings Ltd.","2.44","59321121.4","n/a","2015","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/tanh",
"TRX","Tanzanian Royalty Exploration Corporation","0.4499","53723124.9742","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/trx",
"TGB","Taseko Mines Limited","1.26","285015948.84","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/tgb",
"TECK","Teck Resources Ltd","17.67","10070886731.52","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/teck",
"TS","Tenaris S.A.","30.77","18162559129.55","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/ts",
"TX","Ternium S.A.","28.03","5502504186.31","n/a","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/tx",
"TNH","Terra Nitrogen Company, L.P.","86.5112","1616517831.2576","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/tnh",
"TVIA","TerraVia Holdings, Inc.","0.1901","20588690.3926","n/a","2011","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/tvia",
"AES","The AES Corporation","10.76","7103154045.28","n/a","n/a","Basic Industries","Electric Utilities: Central","http://www.nasdaq.com/symbol/aes",
